Nome;Partido;UF;Período
Acir Gurgacz;PDT;RO;2013
Aécio Neves;PSDB;MG;2013
Alfredo Nascimento;PR;AM;2013
Aloysio Nunes Ferreira;PSDB;SP;2013
Alvaro Dias;PSDB;PR;2013
Ana Amélia;PP;RS;2013
Ana Rita;PT;ES;2013
Ângela Portela;PT;RR;2013
Aníbal Diniz;PT;AC;2013
Antonio Aureliano;PSDB;MG;2013
Antonio Carlos Rodrigues;PR;SP;2013
Antônio Carlos Valadares;PSB;SE;2013
Antonio Russo;PR;MS;2013
Armando Monteiro;PTB;PE;2013
Assis Gurgacz;PDT;RO;2013
Ataídes Oliveira;PSDB;TO;2013
Benedito de Lira;PP;AL;2013
Blairo Maggi;PR;MT;2013
Casildo Maldaner;MDB;SC;2013
Cássio Cunha Lima;PSDB;PB;2013
Cícero Lucena;PSDB;PB;2013
Cidinho Santos;PR;MT;2013
Ciro Nogueira;PP;PI;2013
Clésio Andrade;MDB;MG;2013
Clóvis Fecury;DEM;MA;2013
Cristovam Buarque;PDT;DF;2013
Cyro Miranda;PSDB;GO;2013
Delcidio do Amaral;PT;MS;2013
Demóstenes Torres;S/Partido;GO;2013
Douglas Cintra;PTB;PE;2013
Edison Lobão;MDB;MA;2013
Eduardo Amorim;PSC;SE;2013
Eduardo Braga;MDB;AM;2013
Eduardo Lopes;PRB;RJ;2013
Eduardo Suplicy;PT;SP;2013
Eliseu Resende;DEM;MG;2013
Epitácio Cafeteira;PTB;MA;2013
Eunício Oliveira;MDB;CE;2013
Expedito Júnior;PSDB;RO;2013
Fernando Collor;PTB;AL;2013
Fernando Ribeiro;MDB;PA;2013
Fleury;DEM;GO;2013
Flexa Ribeiro;PSDB;PA;2013
Francisco Dornelles;PP;RJ;2013
Garibaldi Alves;MDB;RN;2013
Garibaldi Alves Filho;MDB;RN;2013
Geovani Borges;MDB;AP;2013
Gilvam Borges;MDB;AP;2013
Gim Argello;PDT;DF;2013
Gleisi Hoffmann;PT;PR;2013
Hélio José;PSD;DF;2013
Humberto Costa;PT;PE;2013
Inácio Arruda;PCdoB;CE;2013
Itamar Franco;CIDADANIA;MG;2013
Ivo Cassol;PP;RO;2013
Ivonete Dantas;MDB;RN;2013
Jader Barbalho;MDB;PA;2013
Jarbas Vasconcelos;MDB;PE;2013
Jayme Campos;DEM;MT;2013
João Alberto Souza;MDB;MA;2013
João Capiberibe;PSB;AP;2013
João Costa;PPL;TO;2013
João Durval;PDT;BA;2013
João Pedro;PT;AM;2013
João Ribeiro;PR;TO;2013
João Vicente Claudino;PTB;PI;2013
Joaquim Roriz;MDB;DF;2013
Jorge Afonso Argello;PTB;DF;2013
Jorge Viana;PT;AC;2013
José Agripino;DEM;RN;2013
José Medeiros;CIDADANIA;MT;2013
José Pimentel;PT;CE;2013
José Sarney;MDB;AP;2013
Kaká Andrade;PDT;SE;2013
Kátia Abreu;MDB;TO;2013
Lauro Antonio;PR;SE;2013
Lídice da Mata;PSB;BA;2013
Lindbergh Farias;PT;RJ;2013
Lobão Filho;MDB;MA;2013
Lúcia Vânia;PSDB;GO;2013
Luiz Henrique;MDB;SC;2013
Magno Malta;PR;ES;2013
Marcelo Crivella;PRB;RJ;2013
Marco Antônio Costa;PSL;TO;2013
Marconi Perillo;PSDB;GO;2013
Maria do Carmo Alves;DEM;SE;2013
Marinor Brito;PSOL;PA;2013
Mário Couto;PSDB;PA;2013
Marisa Serrano;PSDB;MS;2013
Marta Suplicy;PT;SP;2013
Mozarildo Cavalcanti;PTB;RR;2013
Odacir Soares;PP;RO;2013
Osvaldo Sobrinho;PTB;MT;2013
Paulo Bauer;PSDB;SC;2013
Paulo Davim;PV;RN;2013
Paulo Paim;PT;RS;2013
Pedro Simon;MDB;RS;2013
Pedro Taques;PDT;MT;2013
Pericles Olivier;PP;RJ;2013
Raimundo Colombo;DEM;SC;2013
Raimundo Lira;MDB;PB;2013
Randolfe Rodrigues;PSOL;AP;2013
Reditario Cassol;PP;RO;2013
Regina Sousa;PT;PI;2013
Renan Calheiros;MDB;AL;2013
Renato Casagrande;PSB;ES;2013
Ricardo Ferraço;MDB;ES;2013
Roberto Requião;MDB;PR;2013
Rodrigo Rollemberg;PSB;DF;2013
Romero Jucá;MDB;RR;2013
Rosalba Ciarlini;DEM;RN;2013
Ruben Figueiró;PSDB;MS;2013
Sandra Braga;MDB;AM;2013
Sérgio Petecão;PSD;AC;2013
Sérgio Souza;MDB;PR;2013
Sodré Santoro;PTB;RR;2013
Tião Viana;PT;AC;2013
Tomás Correia;MDB;RO;2013
Valdir Raupp;MDB;RO;2013
Vanessa Grazziotin;PCdoB;AM;2013
Vicentinho Alves;PR;TO;2013
Vital do Rêgo;MDB;PB;2013
Waldemir Moka;MDB;MS;2013
Walter Pinheiro;PT;BA;2013
Wellington Dias;PT;PI;2013
Wilder Morais;DEM;GO;2013
Wilson Matos;PSDB;PR;2013
Wilson Santiago;MDB;PB;2013
Zezé Perrella;PDT;MG;2013
