codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_tipo,ocorrencia_tipo_categoria,ocorrencia_tipo_icao,ocorrencia_latitude,ocorrencia_longitude,ocorrencia_cidade,ocorrencia_uf,ocorrencia_pais,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_horario,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_numero,divulgacao_relatorio_publicado,divulgacao_dia_publicacao,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista,ocorrencia_dia_extracao,ocorrencia_datahora,ocorrencia_datahora
201006099196125,ACIDENTE,INDETERMINADO,INDETERMINADO,UNK,2.9938,-61.3140,ALTO ALEGRE,RR,BRASIL,****,2010-06-09,13:00:00,NULL,ATIVA,A-598/CENIPA/2018,NÃO,NULL,0,1,NÃO,2019-01-30,2010/06/09 13:00,2010/06/09 13:00
201009213278405,ACIDENTE,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,2.8375,-63.6417,ALTO ALEGRE,RR,BRASIL,****,2010-09-21,17:10:00,NULL,FINALIZADA,A-044/CENIPA/2012,SIM,2012-06-04,2,1,NÃO,2019-01-30,2010/09/21 17:10,2010/09/21 17:10
200801159627220,ACIDENTE,OUTROS,OUTROS,OTHR,-23.0036,-44.2992,ANGRA DOS REIS,RJ,BRASIL,SJXY,2008-01-15,11:41:00,NULL,FINALIZADA,A-025/CENIPA/2010,SIM,2010-04-28,3,1,NÃO,2019-01-30,2008/01/15 11:41,2008/01/15 11:41
201009014590067,ACIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,2.8414,-60.6922,BOA VISTA,RR,BRASIL,SBBV,2010-09-01,13:30:00,NULL,FINALIZADA,A-134/CENIPA/2011,SIM,2011-12-21,4,1,NÃO,2019-01-30,2010/09/01 13:30,2010/09/01 13:30
201012113981199,INCIDENTE GRAVE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-9.3019,-37.8769,ÁGUA BRANCA,AL,BRASIL,****,2010-12-11,11:00:00,NULL,ATIVA,IG-583/CENIPA/2016,NÃO,NULL,0,1,NÃO,2019-01-30,2010/12/11 11:00,2010/12/11 11:00
201002214011247,INCIDENTE GRAVE,POUSO SEM TREM,CONTATO ANORMAL COM A PISTA,ARC,-15.8692,-47.9208,BRASÍLIA,DF,BRASIL,SBBR,2010-02-21,17:00:00,NULL,FINALIZADA,IG-052/CENIPA/2011,SIM,2011-08-01,1,1,NÃO,2019-01-30,2010/02/21 17:00,2010/02/21 17:00
201006218726530,INCIDENTE,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2010-06-21,17:23:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/06/21 17:23,2010/06/21 17:23
201005234419706,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2010-05-23,15:35:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/05/23 15:35,2010/05/23 15:35
201008064328766,INCIDENTE,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2010-08-06,23:55:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/08/06 23:55,2010/08/06 23:55
201005298364334,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2010-05-29,15:45:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/05/29 15:45,2010/05/29 15:45
201005201056539,INCIDENTE GRAVE,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.8692,-47.9208,BRASÍLIA,DF,BRASIL,SBBR,2010-05-20,22:20:00,NULL,FINALIZADA,IG-010/CENIPA/2013,SIM,2013-09-22,8,1,NÃO,2019-01-30,2010/05/20 22:20,2010/05/20 22:20
201007199377105,ACIDENTE,POUSO BRUSCO,CONTATO ANORMAL COM A PISTA,ARC,-15.8539,-47.8064,BRASÍLIA,DF,BRASIL,****,2010-07-19,18:30:00,NULL,FINALIZADA,A-037/CENIPA/2011,SIM,2011-07-21,1,1,NÃO,2019-01-30,2010/07/19 18:30,2010/07/19 18:30
201009017188535,INCIDENTE,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2010-09-01,20:10:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/09/01 20:10,2010/09/01 20:10
201009154428874,INCIDENTE,COM COMANDOS DE VOO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2010-09-15,13:09:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/09/15 13:09,2010/09/15 13:09
201006217439011,INCIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2010-06-21,17:00:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/06/21 17:00,2010/06/21 17:00
201008106870169,INCIDENTE,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2010-08-10,19:05:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/08/10 19:05,2010/08/10 19:05
201001105932073,INCIDENTE,COLISÃO COM AVE,COLISÃO COM AVE,BIRD,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2010-01-10,03:00:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/01/10 03:00,2010/01/10 03:00
201004028193780,INCIDENTE,OUTROS,OUTROS,OTHR,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2010-04-02,18:15:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/04/02 18:15,2010/04/02 18:15
201012082219340,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2010-12-08,22:00:00,NULL,FINALIZADA,A DEFINIR,NÃO,NULL,0,1,NÃO,2019-01-30,2010/12/08 22:00,2010/12/08 22:00
201007212045639,INCIDENTE,COLISÃO COM AVE,COLISÃO COM AVE,BIRD,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2010-07-21,16:15:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/07/21 16:15,2010/07/21 16:15
201009169551671,INCIDENTE,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2010-09-16,14:50:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/09/16 14:50,2010/09/16 14:50
201006108630131,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2010-06-10,17:27:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/06/10 17:27,2010/06/10 17:27
201010049618214,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2010-10-04,13:30:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/10/04 13:30,2010/10/04 13:30
201008276773531,INCIDENTE,OUTROS,OUTROS,OTHR,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2010-08-27,12:01:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/08/27 12:01,2010/08/27 12:01
201006022025561,INCIDENTE,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2010-06-02,12:20:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/06/02 12:20,2010/06/02 12:20
201007047417372,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2010-07-04,21:00:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/07/04 21:00,2010/07/04 21:00
201009023586794,INCIDENTE,OUTROS,OUTROS,OTHR,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2010-09-02,14:23:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/09/02 14:23,2010/09/02 14:23
201007056628349,INCIDENTE,COLISÃO COM AVE,COLISÃO COM AVE,BIRD,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2010-07-05,03:00:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/07/05 03:00,2010/07/05 03:00
200811016390336,ACIDENTE,OUTROS,OUTROS,OTHR,-22.3436,-49.0539,BUJARI,AC,BRASIL,SBRB,2008-11-01,19:30:00,NULL,FINALIZADA,A-056/CENIPA/2010,SIM,2010-07-01,2,1,NÃO,2019-01-30,2008/11/01 19:30,2008/11/01 19:30
