Nome;Partido;UF;Período
Acir Gurgacz;PDT;RO;2012
Aécio Neves;PSDB;MG;2012
Alfredo Nascimento;PR;AM;2012
Aloysio Nunes Ferreira;PSDB;SP;2012
Alvaro Dias;PSDB;PR;2012
Ana Amélia;PP;RS;2012
Ana Rita;PT;ES;2012
Ângela Portela;PT;RR;2012
Aníbal Diniz;PT;AC;2012
Antonio Aureliano;PSDB;MG;2012
Antonio Carlos Rodrigues;PR;SP;2012
Antônio Carlos Valadares;PSB;SE;2012
Antonio Russo;PR;MS;2012
Armando Monteiro;PTB;PE;2012
Assis Gurgacz;PDT;RO;2012
Ataídes Oliveira;PSDB;TO;2012
Benedito de Lira;PP;AL;2012
Blairo Maggi;PR;MT;2012
Casildo Maldaner;MDB;SC;2012
Cássio Cunha Lima;PSDB;PB;2012
Cícero Lucena;PSDB;PB;2012
Cidinho Santos;PR;MT;2012
Ciro Nogueira;PP;PI;2012
Clésio Andrade;MDB;MG;2012
Clóvis Fecury;DEM;MA;2012
Cristovam Buarque;PDT;DF;2012
Cyro Miranda;PSDB;GO;2012
Delcidio do Amaral;PT;MS;2012
Demóstenes Torres;S/Partido;GO;2012
Douglas Cintra;PTB;PE;2012
Edison Lobão;MDB;MA;2012
Eduardo Amorim;PSC;SE;2012
Eduardo Braga;MDB;AM;2012
Eduardo Lopes;PRB;RJ;2012
Eduardo Suplicy;PT;SP;2012
Eliseu Resende;DEM;MG;2012
Epitácio Cafeteira;PTB;MA;2012
Eunício Oliveira;MDB;CE;2012
Expedito Júnior;PSDB;RO;2012
Fernando Collor;PTB;AL;2012
Fernando Ribeiro;MDB;PA;2012
Fleury;DEM;GO;2012
Flexa Ribeiro;PSDB;PA;2012
Francisco Dornelles;PP;RJ;2012
Garibaldi Alves;MDB;RN;2012
Garibaldi Alves Filho;MDB;RN;2012
Geovani Borges;MDB;AP;2012
Gilvam Borges;MDB;AP;2012
Gim Argello;PDT;DF;2012
Gleisi Hoffmann;PT;PR;2012
Hélio José;PSD;DF;2012
Humberto Costa;PT;PE;2012
Inácio Arruda;PCdoB;CE;2012
Itamar Franco;CIDADANIA;MG;2012
Ivo Cassol;PP;RO;2012
Ivonete Dantas;MDB;RN;2012
Jader Barbalho;MDB;PA;2012
Jarbas Vasconcelos;MDB;PE;2012
Jayme Campos;DEM;MT;2012
João Alberto Souza;MDB;MA;2012
João Capiberibe;PSB;AP;2012
João Costa;PPL;TO;2012
João Durval;PDT;BA;2012
João Pedro;PT;AM;2012
João Ribeiro;PR;TO;2012
João Vicente Claudino;PTB;PI;2012
Joaquim Roriz;MDB;DF;2012
Jorge Afonso Argello;PTB;DF;2012
Jorge Viana;PT;AC;2012
José Agripino;DEM;RN;2012
José Medeiros;CIDADANIA;MT;2012
José Pimentel;PT;CE;2012
José Sarney;MDB;AP;2012
Kaká Andrade;PDT;SE;2012
Kátia Abreu;MDB;TO;2012
Lauro Antônio;PR;SE;2012
Lídice da Mata;PSB;BA;2012
Lindbergh Farias;PT;RJ;2012
Lobão Filho;MDB;MA;2012
Lúcia Vânia;PSDB;GO;2012
Luiz Henrique;MDB;SC;2012
Magno Malta;PR;ES;2012
Marcelo Crivella;PRB;RJ;2012
Marco Antônio Costa;PSL;TO;2012
Marconi Perillo;PSDB;GO;2012
Maria do Carmo Alves;DEM;SE;2012
Marinor Brito;PSOL;PA;2012
Mário Couto;PSDB;PA;2012
Marisa Serrano;PSDB;MS;2012
Marta Suplicy;PT;SP;2012
Mozarildo Cavalcanti;PTB;RR;2012
Odacir Soares;PP;RO;2012
Osvaldo Sobrinho;PTB;MT;2012
Paulo Bauer;PSDB;SC;2012
Paulo Davim;PV;RN;2012
Paulo Paim;PT;RS;2012
Pedro Simon;MDB;RS;2012
Pedro Taques;PDT;MT;2012
Pericles Olivier;PP;RJ;2012
Raimundo Colombo;DEM;SC;2012
Raimundo Lira;MDB;PB;2012
Randolfe Rodrigues;PSOL;AP;2012
Reditario Cassol;PP;RO;2012
Regina Sousa;PT;PI;2012
Renan Calheiros;MDB;AL;2012
Renato Casagrande;PSB;ES;2012
Ricardo Ferraço;MDB;ES;2012
Roberto Requião;MDB;PR;2012
Rodrigo Rollemberg;PSB;DF;2012
Romero Jucá;MDB;RR;2012
Rosalba Ciarlini;DEM;RN;2012
Ruben Figueiró;PSDB;MS;2012
Sandra Braga;MDB;AM;2012
Sérgio Petecão;PSD;AC;2012
Sérgio Souza;MDB;PR;2012
Sodré Santoro;PTB;RR;2012
Tião Viana;PT;AC;2012
Tomás Correia;MDB;RO;2012
Valdir Raupp;MDB;RO;2012
Vanessa Grazziotin;PCdoB;AM;2012
Vicentinho Alves;PR;TO;2012
Vital do Rêgo;MDB;PB;2012
Waldemir Moka;MDB;MS;2012
Walter Pinheiro;PT;BA;2012
Wellington Dias;PT;PI;2012
Wilder Morais;DEM;GO;2012
Wilson Matos;PSDB;PR;2012
Wilson Santiago;MDB;PB;2012
Zezé Perrella;PDT;MG;2012
